"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","経度","緯度","分類"
"1","302015","和歌山(県)-1","地価調査","住宅","和歌山市","雑賀道６番","","135.181","34.2256","270000","265000","255000","242000","222000","206000","184000","167000","153000","145000","134000","124000","117000","114000","114000","113000","111000","107000","105000","102000","99100","99100","99100","99100","99100","135.18119779356","34.2256295290167","平成29年地価調査基準地"
"2","302015","和歌山(県)-2","地価調査","住宅","和歌山市","塩屋５丁目１４４番１３","塩屋５－５－４３","135.179","34.1991","180000","180000","174000","170000","167000","161000","154000","146000","138000","130000","123000","115000","108000","104000","103000","102000","100000","95000","90000","87000","84300","83200","82100","81000","80200","135.178828181076","34.1990792754022","平成29年地価調査基準地"
"3","302015","和歌山(県)-3","地価調査","住宅","和歌山市","有家字寺田２６２番６","","135.197","34.2219","155000","155000","151000","148000","145000","143000","134000","131000","128000","120000","112000","103000","94700","89000","86500","85600","83400","80600","77000","74800","73300","72200","71500","71000","70800","135.197417543062","34.2218594678286","平成29年地価調査基準地"
"4","302015","和歌山(県)-4","地価調査","住宅","和歌山市","狐島字西淀屋６１５番１００外","","135.148","34.2498","120000","120000","119000","118000","118000","110000","99500","92100","85700","80600","76000","72000","65000","61400","60200","59500","57900","55000","52000","49000","46500","44600","43100","42000","41500","135.147798188167","34.2497989098046","平成29年地価調査基準地"
"5","302015","和歌山(県)-5","地価調査","住宅","和歌山市","南田辺丁２７番","","135.164","34.224","0","0","0","0","0","0","180000","171000","164000","153000","144000","134000","125000","121000","121000","121000","117000","113000","110000","107000","105000","105000","105000","106000","107000","135.163887844688","34.2239493361354","平成29年地価調査基準地"
"6","302015","和歌山(県)-6","地価調査","住宅","和歌山市","三葛字的場６６４番１３","","135.191","34.1933","0","0","0","0","0","130000","125000","121000","118000","106000","96500","90000","85000","80500","77000","74000","70600","68100","65600","63500","61700","60500","59200","58000","57100","135.191257978924","34.1932593791011","平成29年地価調査基準地"
"7","302015","和歌山(県)-7","地価調査","住宅","和歌山市","吉礼字箱田５２３番１２","","135.236","34.2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54000","51300","48300","45400","43000","42000","41300","40600","40000","39600","135.236397241032","34.2010593806657","平成29年地価調査基準地"
"8","302015","和歌山(県)-8","地価調査","住宅","和歌山市","粟字重道ノ坪１８１番２７","","135.167","34.2534","143000","143000","140000","137000","136000","127000","116000","105000","94500","89000","84000","80000","76500","72000","71000","67000","65000","62400","58500","56200","55100","53500","52000","50900","50000","135.167187550829","34.2534189718639","平成29年地価調査基準地"
"9","302015","和歌山(県)-9","地価調査","住宅","和歌山市","宇須２丁目３５４番２８","宇須２－２－１８","135.175","34.2123","205000","205000","197000","192000","189000","173000","160000","148000","138000","130000","122000","114000","108000","103000","102000","101000","99500","96000","92600","91000","90000","89500","89500","90000","90500","135.174628097747","34.2122893583616","平成29年地価調査基準地"
"10","302015","和歌山(県)-10","地価調査","住宅","和歌山市","禰宜字瓜畑１３６０番１６","","135.246","34.2433","100000","100000","99500","99000","99000","97000","95000","90000","86000","81000","76300","71900","66000","63400","60900","58500","56200","53500","48000","46300","45800","44200","42500","41700","41300","135.245596337676","34.2432787297361","平成29年地価調査基準地"
